2022-09-14 12:43:23,925:INFO:ResultsLogger:Model:CustomCNN, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.005099, AddInfo: hopLen512_nMFCC16_mfcc
2022-10-22 18:28:33,579:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.051011, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 18:37:11,562:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.0%, AvgLoss: 0.060519, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 18:42:19,555:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.039763, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 18:46:09,191:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.072419, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 18:49:29,349:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 97.7%, AvgLoss: 0.042641, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 19:00:46,368:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.038451, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-22 19:04:45,229:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.053737, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-23 09:51:31,851:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.7%, AvgLoss: 0.024076, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-23 09:55:53,057:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.3%, AvgLoss: 0.030313, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-24 16:23:48,398:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 50.0%, AvgLoss: 1.282584, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-24 16:25:22,304:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 50.0%, AvgLoss: 1.229915, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-24 16:26:03,942:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 66.7%, AvgLoss: 0.870470, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-24 16:27:10,650:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 50.0%, AvgLoss: 1.361027, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-24 16:29:18,617:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 58.3%, AvgLoss: 0.921500, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-24 16:35:48,827:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 41.7%, AvgLoss: 1.354800, AddInfo: hopLen512_nMFCC16_mfccPaperRunYesNo_10Steps
2022-10-26 14:08:41,037:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.062362, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-26 14:19:23,183:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.7%, AvgLoss: 0.063038, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-26 14:23:04,945:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.046506, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-26 15:08:40,624:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 99.0%, AvgLoss: 0.035773, AddInfo: hopLen512_nMFCC16_mfccPaperRun_10Steps
2022-10-27 18:11:52,341:INFO:ResultsLogger:Model:CustomSCNN, EpochTrained:20, Acc: 98.3%, AvgLoss: 0.048431, AddInfo: hopLen512_nMFCC16_mfccPaperRun_B_10Steps
